feature_group,num_features,accuracy_mean,macro_f1_mean,macro_f1_sd,weighted_f1_mean
combined_all,9,0.5094503990056383,0.4845234483606647,0.010114826779852539,0.49383669106485445
demographic_only,6,0.5032548532175647,0.4802416021653161,0.008466285849048651,0.48950044730787334
psychographic_only,2,0.41725986105356705,0.30549195420596753,0.013756593319798999,0.3169058472487265
behavioral_only,1,0.2801364245011679,0.1609432280287533,0.029112959348102426,0.17254234349718806
